AThomas3,APeriklis1,AThomas1,APeriklis3,CGari2,CGari3,APeter1,ARIchard3,AHarry1,AHarry3,RMarcus3,RSarah3,RMarcus1,APeter3,RSid3,RNicholas3,RSid1,RKM3,RKM1,AJeremy1,AAdam3,AJeremy3,AJeremy2,ABenS3,CJayden3,ABenS1,CJayden1,RSteven3,RRobert3,RJohn3,CGari1,CGeorge1,RJakub1,CJonny2,CDaisy2,CKrish1,CJonny1,CDaisy3,RBen2,RBen3,AAdam1,CTristan3,CRoy1,CTristan1,CRoy3,AMichael1,RRobert2,RNicholas1,RJakub3,CJames1,CJoshua3,CKrish3,AAlex1,AMichael3,AAlex3,RJohn1,ADavid1,ADavid3,ARachel1,RJakub2,ARachel3,CPrakash1,CPrakash3,RSteven1,CGeorge3,ARichard2,RSkyler1,CNathan3,CNathan1,CTristan2,CJoshua1,RSarah2,RAshley2,RSkyler3,AThomas2,CJames3,RAshley3
0.92015767,0.0,0.6,0.61517644,0.0,0.0,0.75733,0.58092147,0.97516024,0.93112195,0.75040913,0.16143058,0.34529382,0.69211429,0.61,0.61,0.84283805,0.94887233,0.0,0.85311246,0.0,0.84640497,0.73870665,0.97220349,0.90563083,0.97016752,0.66943443,,0.96142203,0.43338016,0.79166168,0.61898571,0.69867057,0.90516973,0.0,0.61,0.92299426,0.89672059,0.79181552,0.0,0.9269101,0.0,0.0,0.95000702,0.87063652,0.61,0.40160707,0.0,0.90366161,0.61,0.76914102,0.79179198,0.91699648,0.90797079,0.81080294,0.0,0.61,0.61,0.88156027,0.80936086,0.80130661,0.65544432,0.61,0.89988697,0.73510861,0.61,0.67160493,0.74375731,0.61,0.66254056,0.81630307,0.9724983,0.93470663,0.84927607,0.51408952,0.61,0.42122856
0.85322124,0.84336674,0.6,0.93270445,0.91213119,0.93856204,0.64661926,0.65037096,0.90350878,0.85546952,0.89396954,0.92321283,0.76667297,0.60728365,0.77670193,0.81799912,0.43307561,0.69041306,0.83892137,0.76532149,0.90661341,0.73764879,0.76146728,0.71899509,0.81224525,0.61,0.85764974,,0.80751187,0.92757314,0.8139115,0.61,0.52071089,0.85544747,0.8824358,0.35558781,0.7909714,0.78880817,0.6907286,0.0,0.76109368,0.58340871,0.75257087,0.72233111,0.82359743,0.58395898,0.44072533,0.66834462,0.91829562,0.63072562,0.78431904,0.65249258,0.85761303,0.83377749,0.85150772,0.0,0.77053487,0.82570964,0.61,0.81577349,0.56838632,0.61,0.63792276,0.56504291,0.68139118,0.7039814,0.7452755,0.7096256,0.88441688,0.67262614,0.83303875,0.77051318,0.85930377,0.80289918,0.69137126,0.61,0.93641192
0.67505443,0.0,0.91941708,0.67615265,0.80492902,0.0,0.61,0.88795382,0.91865295,0.8105464,0.58190048,0.0,0.51872116,0.78163964,0.89542282,0.71835333,0.0,0.88950932,0.75384223,0.83618551,0.58339125,0.63976151,0.81734312,0.61,0.82548165,0.90357554,0.51,,0.0,0.73875219,0.7200231,0.85329658,0.8033489,0.0,0.88983911,0.56848496,0.68232924,0.73140442,0.0,0.0,0.0,0.0,0.87943834,0.73827267,0.81040353,0.79580736,0.0,0.0,0.89135081,0.7061435,0.76287669,0.65085357,0.97516018,0.67536634,0.52075595,0.65599489,0.61547834,0.76684493,0.61,0.73235059,0.69702107,0.61,0.85143799,0.87486458,0.6875667,0.79324931,0.80504066,0.72919708,0.71731496,0.0,0.8930347,0.0,0.69634444,0.59436363,0.46561074,0.91444522,0.71388978
0.6,0.67874986,0.78361744,0.71048635,0.89348775,0.85305476,0.61,0.79127473,0.92193794,0.94110554,0.82470286,0.46663156,0.74188393,0.77868122,0.50200045,0.77585673,0.93893945,0.7325207,0.70944941,0.75882262,0.91898566,0.72506082,0.59301609,0.80065185,0.61,0.71237946,0.83765656,,0.0,0.86701894,0.76971394,0.61,0.81915116,0.0,0.85572374,0.56461686,0.73618287,0.7759738,0.75073701,0.7465989,0.89172012,0.87371445,0.66785294,0.78990328,0.75695717,0.70442301,0.0,0.67737752,0.87028903,0.61,0.77497888,0.61092806,0.76862663,0.77110255,0.83667773,0.7141217,0.63170028,0.5755803,0.84417218,0.85032171,0.89784908,0.36994469,0.64757234,0.92525053,0.71195775,0.90377587,0.74909425,0.69757169,0.79238188,0.78693938,0.61,0.0,0.91374093,0.61,0.83416927,0.62051159,0.92283481
0.7420193,0.88416994,0.80009395,0.78812355,0.78889024,0.82419038,0.72431237,0.87169778,0.90071815,0.80387408,0.61,0.73975766,0.93057406,0.61,0.63965476,0.8297264,0.85196108,0.84478152,0.0,0.83485162,0.76657367,0.90087104,0.8498354,0.61929536,0.57584977,0.86335272,0.87590474,,0.0,0.0,0.76773077,0.8178969,0.80184239,0.0,0.86317474,0.95501721,0.84748483,0.81338787,0.66841859,0.75817329,0.86390316,0.0,0.66156936,0.75304145,0.61,0.74210322,0.73170626,0.0,0.84293854,0.73856032,0.67562425,0.61,0.71563679,0.84441751,0.76784563,0.8559643,0.80783367,0.78756624,0.80136627,0.8106671,0.61,0.68433648,0.73010314,0.68412423,0.52638668,0.84722787,0.82223415,0.94304347,0.61,0.62927574,0.85183764,0.0,0.80460483,0.69385129,0.9009847,0.87202716,0.90158653
0.81734341,0.78992599,0.6,0.80522066,0.0,0.0,0.88607955,0.87532747,0.95751727,0.85255462,0.76638484,0.62410617,0.65004289,0.50307482,0.64624727,0.91084164,0.0,0.45248422,0.69509971,0.72898746,0.94575173,0.70139182,0.7384094,0.91684318,0.8331179,0.8359077,0.92025435,,0.45145011,0.84417218,0.75566298,0.68469185,0.8571949,0.81561315,0.73231542,0.37463748,0.77365339,0.64690316,0.46714395,0.71866,0.70158905,0.87380189,0.77951193,0.70977169,0.65054041,0.64667225,0.7103737,0.55321223,0.72003442,0.61,0.771501,0.53688401,0.61,0.84771776,0.86863345,0.81796628,0.61,0.61,0.69688308,0.73846531,0.61,0.77504826,0.66358584,0.77440596,0.75536448,0.67985487,0.76069009,0.72111893,0.5998733,0.93128788,0.81932944,0.0,0.60573286,0.71962339,0.7752254,0.75691319,0.88617796
0.78590572,0.42286402,0.6,0.83244747,0.85322756,0.86929238,0.70595902,0.79842854,0.61,0.72477549,0.61,0.91480964,0.50931841,0.70289809,0.86629331,0.92761576,0.74197257,0.69944787,0.0,0.48376653,0.80604738,0.71983057,0.77831161,0.64984059,0.80170554,0.70375705,0.51,,0.9257741,0.91770941,0.66627383,0.80935067,0.89635801,0.86060852,0.0,0.61,0.73066777,0.76442164,0.77291936,0.85512084,0.72484255,0.73782122,0.67546362,0.3614465,0.82764983,0.86863375,0.0,0.69115186,0.75171435,0.62749797,0.77182102,0.64655536,0.65798867,0.72303039,0.81951892,0.64565992,0.61,0.68597287,0.59735113,0.85341758,0.89796525,0.66789174,0.74773234,0.62856239,0.65599114,0.63055247,0.62708896,0.87009382,0.79932261,0.85092878,0.59022069,0.0,0.49985272,0.78606796,0.6,0.64091355,0.72692776
0.95240021,0.0,0.78584063,0.53065038,0.83166581,0.92360169,0.63280213,0.61,0.70798779,0.83394223,0.82477903,0.83602136,0.56782448,0.62988859,0.74573654,0.61,0.85510159,0.87376559,0.80200773,0.82374358,0.74352676,0.87636691,0.77231061,0.83367288,0.77696443,0.61,0.88655823,,0.96327305,0.45377091,0.94791603,0.66158795,0.87708157,0.0,0.0,0.79009742,0.81301689,0.61,0.5458281,0.84984237,0.88989264,0.73227346,0.69225526,0.81217498,0.72454524,0.41590688,0.85383379,0.69532043,0.91023988,0.79632968,0.73793101,0.88369465,0.782511,0.58999199,0.66125923,0.0,0.62224054,0.68894136,0.79856342,0.83635533,0.88436943,0.61,0.78327155,0.85521352,0.61,0.5828166,0.58419704,0.61,0.53130513,0.85423142,0.94174725,0.96876711,0.53077197,0.61,0.60300785,0.84937805,0.0
0.78815293,0.90322226,0.68567735,0.60062909,0.61862481,0.86989671,0.85388756,0.85530055,0.85491246,0.74642992,0.71951574,0.69654208,0.77847618,0.91211259,0.61,0.96492386,0.95524299,0.80543947,0.0,0.81995469,0.72770345,0.68826085,0.5685702,0.65890616,0.79154271,0.91552728,0.81914949,,0.0,0.70274752,0.0,0.79854935,0.79778773,0.75865382,0.82460123,0.51310068,0.0,0.68923914,0.64176828,0.78440416,0.51114231,0.87308246,0.61,0.83597517,0.80950916,0.82976186,,0.57191938,0.83581662,0.74992192,0.69723719,0.93555778,0.70580798,0.61,0.69466066,0.78499138,0.88123941,0.79387873,0.68351138,0.8775627,0.61,0.70266712,0.92645007,0.91312265,0.64206612,0.82363284,0.55624431,0.71754313,0.64281678,0.61688721,0.61,0.95592266,0.76909161,0.81890702,0.0,0.86879206,0.8746559
0.7675544,0.80187547,0.61489195,0.85969651,0.95428544,0.91580242,0.73808467,0.61,0.95540112,0.76427281,0.72354507,0.8638438,0.0,0.82498592,0.61,0.8199994,0.80234355,0.55454791,0.68211257,0.61,0.0,0.56348324,0.83994716,0.65985602,0.59550905,0.81645048,0.90303707,,0.0,0.67567253,0.93388361,0.61292559,0.87639672,0.90040231,0.91690791,0.89968002,0.71523923,0.54962176,0.81604058,0.73932743,0.83437639,0.4898724,0.87216574,0.77784657,0.61,0.61,,0.74217337,0.54390782,0.82375026,0.50377733,0.90014261,0.82537198,0.79167539,0.7011342,0.0,0.65427995,0.82656139,0.73854059,0.84285474,0.8981843,0.60296595,0.16208586,0.78564805,0.0,0.70346826,0.59657449,0.45200068,0.82613498,0.83123106,0.74336863,0.84956378,0.80857211,0.75849807,0.6,0.56041145,0.67764807
