AThomas3,APeriklis1,AThomas1,APeriklis3,CGari2,CGari3,APeter1,ARIchard3,AHarry1,AHarry3,RMarcus3,RSarah3,RMarcus1,APeter3,RSid3,RNicholas3,RSid1,RKM3,RKM1,AJeremy1,AAdam3,AJeremy3,AJeremy2,ABenS3,CJayden3,ABenS1,CJayden1,RSteven3,RRobert3,RJohn3,CGari1,CGeorge1,RJakub1,CJonny2,CDaisy2,CKrish1,CJonny1,CDaisy3,RBen2,RBen3,AAdam1,CTristan3,CRoy1,CTristan1,CRoy3,AMichael1,RRobert2,RNicholas1,RJakub3,CJames1,CJoshua3,CKrish3,AAlex1,AMichael3,AAlex3,RJohn1,ADavid1,ADavid3,ARachel1,RJakub2,ARachel3,CPrakash1,CPrakash3,RSteven1,CGeorge3,ARichard2,RSkyler1,CNathan3,CNathan1,CTristan2,CJoshua1,RSarah2,RAshley2,RSkyler3,AThomas2,CJames3,RAshley3
99.8243,80.3895,125.507,79.2644,85.7891,88.609,103.064,98.6282,91.5748,78.5408,91.1456,23.1194,81.3318,101.364,78.5628,76.0028,97.8351,88.8848,88.7374,100.946,82.1966,108.515,98.4505,79.9994,79.5341,76.4432,96.3755,83.814,92.7135,78.1913,82.3742,104.24,82.0662,91.4273,103.616,97.6106,89.9253,85.7511,77.0178,77.4674,83.806,67.5328,99.3536,72.1963,84.8446,101.809,102.667,93.2174,90.7156,84.5864,90.4519,102.641,91.071,84.4006,91.8575,93.7831,88.5587,89.5423,86.5493,85.3505,93.433,93.2581,71.9873,82.3856,104.159,98.1853,87.3994,101.708,82.6178,72.3728,82.0814,87.5016,82.8235,92.2085,108.604,111.973,85.7256
100.117,85.7178,74.4111,80.334,81.642,79.27,101.062,83.7959,83.3973,75.0864,89.76,107.216,75.111,99.8426,80.3814,77.4427,100.346,86.5973,86.2275,96.7366,79.2669,93.0216,89.7852,97.9043,83.5365,81.0473,86.4883,83.0883,90.5206,82.6901,75.7623,80.801,78.1322,94.4573,100.25,82.4055,86.6733,87.8215,74.522,74.2887,76.8729,67.5673,76.4335,71.4083,81.4152,94.5101,94.0042,88.785,88.2282,75.8684,89.0446,97.2952,84.1112,121.051,83.8024,81.0501,92.1618,87.994,104.08,80.4635,92.9726,84.6389,85.9454,85.2103,111.982,94.6206,89.7988,94.2709,85.4951,63.142,94.4799,90.2334,64.2375,94.0668,83.2481,97.6014,70.0104
105.705,83.3281,101.753,82.8046,82.0717,84.5729,98.0006,90.6457,78.809,78.8294,86.7172,81.4972,73.2827,102.123,81.7666,81.2015,97.3206,92.6609,83.5539,89.7409,94.9312,96.1961,94.443,85.7297,77.8233,86.43,77.4179,80.8688,93.953,83.9605,82.557,88.6464,72.3425,92.9581,100.714,96.8846,82.452,79.691,77.9749,76.2268,74.6072,70.1475,70.1929,69.6195,99.8404,80.0335,94.572,88.9482,86.4377,79.056,86.6381,89.9714,78.6264,118.592,92.1128,72.7193,90.1567,85.6265,99.8625,77.7609,91.2195,88.0422,99.0946,88.2704,98.9402,86.0841,80.4562,101.162,82.4387,72.4129,88.5285,88.3665,68.8212,92.8142,91.177,113.057,74.7959
104.762,86.1851,94.3912,84.976,82.1233,84.4377,102.97,87.4376,77.0529,77.6671,87.0696,82.6959,80.7485,107.862,81.6668,60.0645,80.8234,90.8611,81.9435,92.0573,91.8204,99.8184,85.5739,90.9955,88.5083,85.0084,75.7122,81.2064,93.0657,87.9633,78.2129,95.816,71.5145,88.8401,102.392,88.8108,81.7678,79.0376,66.5705,74.3022,75.2451,68.9445,74.1464,73.7659,93.4255,87.6843,80.5024,86.0969,81.3235,74.9108,92.4288,86.5116,76.3264,74.0569,93.4911,77.3048,90.476,82.0276,104.69,78.7347,99.2457,97.0693,87.3587,83.2919,113.346,86.4556,80.0344,95.8451,89.8707,77.2001,87.0334,83.8443,70.2851,87.3439,94.8249,90.0903,71.1378
104.868,88.2752,86.8909,85.1447,85.94,84.6929,102.149,86.2293,78.3564,77.5854,89.9684,84.335,78.816,105.282,89.5663,67.7659,66.8866,94.5925,75.4071,89.7899,91.7631,101.367,89.1573,82.5091,83.7573,83.3293,78.2634,79.6688,92.5783,94.9654,77.9471,78.3679,74.2476,93.3473,100.02,91.6049,83.2207,78.2673,80.5369,80.883,74.4128,67.4264,77.6253,74.4995,93.1459,75.9628,88.4316,81.1691,81.1112,76.0196,93.9708,88.7043,77.7795,98.9484,93.5422,78.8025,90.4642,90.5158,94.0576,71.1596,95.4847,93.6207,81.9743,85.5578,103.016,89.1082,83.6143,101.503,88.1168,73.3168,86.2696,84.4628,61.5767,88.7093,96.2782,95.8644,76.9229
104.207,88.3871,88.3555,80.9625,84.1187,84.5915,108.024,95.4528,79.7256,82.6791,90.6755,82.1091,78.3274,102.885,87.9799,70.0625,95.3125,91.1895,75.9831,95.3256,91.5151,102.864,85.9445,82.1645,84.6677,84.4583,76.3686,79.7077,92.0125,83.0662,78.0171,96.5101,68.2653,91.8965,101.211,86.23,79.4827,77.8116,79.0547,79.0865,73.0141,72.3805,70.7387,77.3684,91.9977,77.4395,58.3735,54.9848,79.7468,78.124,81.1842,90.3727,74.6826,92.9438,90.7921,78.8676,92.1542,83.4872,91.7095,73.0474,96.4391,80.2529,85.1358,85.9884,103.424,85.1845,81.5171,102.771,82.7531,69.1993,86.9873,81.3443,70.4078,94.0134,97.4217,95.7222,78.4702
102.457,79.3216,100.085,84.548,83.5617,83.8196,98.184,90.7927,79.4043,78.3912,90.7461,83.339,81.0063,106.808,85.9145,75.4841,93.2004,89.9616,72.9786,91.8374,92.0117,97.9943,85.8294,87.9845,92.4944,89.5518,76.0794,82.5786,92.7836,80.8283,78.1252,102.932,66.7386,89.1776,101.942,88.8686,80.349,90.7378,72.3048,76.6447,69.7894,77.337,70.8333,70.3985,90.1362,85.4337,87.4561,85.1639,79.9513,78.2538,104.4,87.6799,76.6877,112.412,90.1343,87.0125,92.1439,83.3727,98.3983,71.7155,92.9343,91.1253,89.33,83.3919,100.283,85.6436,82.5304,104.047,70.7902,74.6814,67.7524,81.9559,71.1211,88.2453,98.5843,98.9248,73.5
103.003,84.9017,93.2482,82.6451,84.4589,83.0593,97.8665,89.5909,72.5293,77.9342,88.9001,81.3937,76.9582,107.916,90.8335,75.3192,87.9714,86.0891,71.1555,98.7709,90.3685,100.048,78.4024,110.915,93.3777,91.4945,77.8481,81.5658,91.2849,82.8488,78.804,100.67,68.1525,94.5985,101.205,91.7829,76.9281,86.2539,76.654,82.4329,69.0173,70.2471,66.1249,75.6222,90.1995,91.7765,105.409,89.0053,81.2827,82.792,93.945,90.9368,77.6458,87.3644,87.7591,90.0833,81.2428,83.0089,89.9195,73.8978,93.9634,96.8138,92.8194,85.4299,101.72,93.6138,88.3192,104.764,131.481,69.7422,66.6008,81.8631,67.3891,89.5418,99.9846,96.927,74.5766
102.294,84.0869,90.8733,77.1422,84.1734,83.271,99.1154,92.1128,74.5931,80.0243,88.6179,80.294,76.0028,104.475,90.3585,73.4523,92.0264,89.1279,71.5396,81.8216,90.744,104.657,87.865,82.1718,87.4622,87.388,77.9685,83.5511,91.0722,80.9424,76.1149,97.0342,67.0585,91.0521,98.3478,88.7958,78.0646,83.7567,73.5683,83.3915,72.1843,78.1789,71.683,72.9075,92.5406,88.3383,94.3266,93.1045,78.5642,81.0475,95.4054,86.9408,83.0445,88.197,61.2636,82.778,73.9833,83.293,97.6112,80.7587,99.1102,85.6219,96.2793,86.1776,103.644,94.3927,84.958,104.874,244.144,69.2517,66.8889,84.9742,64.2809,95.7403,99.8299,98.3452,76.843
102.394,87.3464,92.1138,76.5727,82.8619,81.0653,101.359,88.6288,77.1,81.4471,88.7444,81.0543,76.0647,104.817,86.5758,73.3485,90.8767,91.1862,72.8655,83.7031,93.617,98.6638,94.865,84.4669,88.2928,83.6458,76.4359,81.2817,91.3734,81.9694,78.2716,97.511,68.0185,89.5841,99.8847,88.5862,85.6133,83.9266,63.6846,82.5805,70.9008,65.2736,74.9579,68.4121,84.0848,90.1273,95.8655,91.8069,82.9078,81.2534,82.8131,92.7632,76.1126,85.2372,86.961,79.7459,79.8468,87.8773,92.8436,79.0005,95.9009,100.121,89.6627,88.7493,95.2975,89.7888,83.9289,104.696,125.896,70.481,78.4677,80.4611,54.9904,94.7422,98.3482,96.2185,75.216
