AThomas3,APeriklis1,AThomas1,APeriklis3,CGari2,CGari3,APeter1,ARIchard3,AHarry1,AHarry3,RMarcus3,RSarah3,RMarcus1,APeter3,RSid3,RNicholas3,RSid1,RKM3,RKM1,AJeremy1,AAdam3,AJeremy3,AJeremy2,ABenS3,CJayden3,ABenS1,CJayden1,RSteven3,RRobert3,RJohn3,CGari1,CGeorge1,RJakub1,CJonny2,CDaisy2,CKrish1,CJonny1,CDaisy3,RBen2,RBen3,AAdam1,CTristan3,CRoy1,CTristan1,CRoy3,AMichael1,RRobert2,RNicholas1,RJakub3,CJames1,CJoshua3,CKrish3,AAlex1,AMichael3,AAlex3,RJohn1,ADavid1,ADavid3,ARachel1,RJakub2,ARachel3,CPrakash1,CPrakash3,RSteven1,CGeorge3,ARichard2,RSkyler1,CNathan3,CNathan1,CTristan2,CJoshua1,RSarah2,RAshley2,RSkyler3,AThomas2,CJames3,RAshley3
120.0,0.0,7.0,40.0,0.0,0.0,150.0,60.0,75.0,135.0,60.0,20.0,40.0,120.0,140.0,140.0,80.0,90.0,0.0,60.0,0.0,45.0,105.0,90.0,15.0,105.0,30.0,,120.0,80.0,80.0,45.0,60.0,60.0,0.0,140.0,80.0,45.0,120.0,0.0,60.0,0.0,0.0,80.0,45.0,140.0,80.0,0.0,140.0,140.0,75.0,135.0,105.0,120.0,90.0,0.0,140.0,140.0,60.0,40.0,120.0,60.0,140.0,60.0,30.0,140.0,120.0,135.0,140.0,100.0,90.0,80.0,120.0,120.0,30.0,140.0,40.0
195.0,140.0,7.0,60.0,200.0,280.0,165.0,180.0,15.0,105.0,135.0,200.0,180.0,45.0,135.0,195.0,20.0,150.0,220.0,60.0,220.0,180.0,225.0,180.0,75.0,140.0,165.0,,180.0,120.0,280.0,140.0,200.0,260.0,300.0,15.0,340.0,135.0,160.0,0.0,180.0,80.0,165.0,280.0,150.0,135.0,60.0,160.0,180.0,240.0,195.0,135.0,120.0,90.0,90.0,0.0,150.0,45.0,140.0,160.0,135.0,140.0,75.0,120.0,105.0,135.0,260.0,150.0,75.0,200.0,105.0,220.0,260.0,135.0,120.0,140.0,160.0
150.0,0.0,30.0,60.0,80.0,0.0,140.0,90.0,165.0,150.0,120.0,0.0,180.0,240.0,165.0,90.0,0.0,120.0,240.0,90.0,240.0,165.0,120.0,140.0,120.0,210.0,140.0,,0.0,160.0,180.0,135.0,200.0,0.0,140.0,45.0,220.0,135.0,0.0,0.0,0.0,0.0,60.0,140.0,120.0,135.0,0.0,0.0,160.0,195.0,225.0,90.0,60.0,90.0,165.0,120.0,90.0,120.0,140.0,160.0,150.0,140.0,165.0,135.0,165.0,90.0,60.0,75.0,45.0,0.0,135.0,0.0,160.0,90.0,60.0,75.0,240.0
7.0,160.0,240.0,140.0,140.0,180.0,140.0,105.0,210.0,135.0,165.0,180.0,120.0,165.0,75.0,165.0,200.0,165.0,100.0,135.0,60.0,240.0,180.0,210.0,140.0,180.0,90.0,,0.0,260.0,260.0,140.0,240.0,0.0,280.0,105.0,320.0,120.0,280.0,180.0,260.0,200.0,135.0,180.0,150.0,210.0,0.0,120.0,280.0,140.0,165.0,135.0,165.0,225.0,135.0,140.0,120.0,165.0,135.0,240.0,90.0,15.0,180.0,150.0,90.0,120.0,40.0,120.0,75.0,240.0,140.0,0.0,240.0,140.0,135.0,30.0,240.0
210.0,200.0,60.0,180.0,260.0,260.0,165.0,60.0,90.0,225.0,140.0,200.0,40.0,140.0,30.0,90.0,300.0,150.0,0.0,150.0,220.0,120.0,210.0,165.0,45.0,135.0,135.0,,0.0,0.0,280.0,210.0,160.0,0.0,300.0,195.0,260.0,105.0,120.0,160.0,180.0,0.0,60.0,200.0,140.0,165.0,180.0,0.0,180.0,165.0,105.0,140.0,165.0,195.0,240.0,200.0,105.0,165.0,195.0,260.0,140.0,150.0,75.0,120.0,165.0,90.0,220.0,45.0,140.0,220.0,60.0,0.0,120.0,135.0,195.0,120.0,280.0
225.0,200.0,7.0,140.0,0.0,0.0,120.0,135.0,165.0,45.0,30.0,160.0,180.0,60.0,15.0,105.0,0.0,150.0,180.0,60.0,240.0,150.0,195.0,195.0,60.0,135.0,150.0,,100.0,200.0,200.0,75.0,120.0,180.0,260.0,90.0,260.0,195.0,200.0,160.0,220.0,140.0,60.0,180.0,165.0,195.0,240.0,80.0,160.0,140.0,165.0,90.0,140.0,180.0,165.0,120.0,140.0,140.0,135.0,160.0,140.0,165.0,60.0,75.0,75.0,150.0,200.0,60.0,120.0,160.0,165.0,0.0,300.0,150.0,60.0,150.0,240.0
135.0,100.0,7.0,180.0,220.0,160.0,195.0,120.0,140.0,165.0,140.0,120.0,180.0,135.0,105.0,150.0,200.0,120.0,0.0,120.0,140.0,210.0,240.0,135.0,195.0,120.0,140.0,,200.0,140.0,200.0,150.0,140.0,260.0,0.0,140.0,180.0,60.0,160.0,200.0,200.0,200.0,150.0,40.0,135.0,135.0,0.0,220.0,100.0,120.0,75.0,150.0,60.0,135.0,255.0,140.0,140.0,90.0,90.0,180.0,105.0,180.0,150.0,105.0,150.0,165.0,80.0,150.0,120.0,140.0,165.0,0.0,200.0,120.0,7.0,195.0,180.0
150.0,0.0,75.0,160.0,160.0,240.0,255.0,140.0,135.0,60.0,135.0,140.0,200.0,60.0,150.0,140.0,200.0,150.0,240.0,135.0,160.0,195.0,195.0,150.0,60.0,140.0,150.0,,180.0,160.0,160.0,90.0,200.0,0.0,0.0,210.0,200.0,140.0,180.0,160.0,220.0,200.0,90.0,240.0,90.0,60.0,220.0,100.0,240.0,105.0,165.0,90.0,195.0,60.0,120.0,0.0,165.0,105.0,135.0,260.0,105.0,140.0,135.0,165.0,140.0,60.0,180.0,140.0,75.0,160.0,45.0,80.0,300.0,140.0,15.0,90.0,0.0
195.0,160.0,30.0,240.0,140.0,160.0,150.0,135.0,75.0,60.0,150.0,140.0,160.0,195.0,140.0,120.0,160.0,150.0,0.0,165.0,140.0,180.0,195.0,150.0,225.0,210.0,90.0,,0.0,180.0,0.0,210.0,140.0,140.0,180.0,45.0,0.0,150.0,140.0,180.0,80.0,140.0,140.0,200.0,195.0,195.0,,60.0,220.0,120.0,60.0,105.0,165.0,140.0,90.0,260.0,45.0,180.0,105.0,200.0,140.0,75.0,75.0,105.0,180.0,75.0,240.0,45.0,60.0,180.0,140.0,180.0,200.0,195.0,0.0,105.0,240.0
150.0,220.0,75.0,140.0,220.0,240.0,195.0,140.0,210.0,60.0,120.0,180.0,0.0,90.0,140.0,135.0,240.0,135.0,200.0,140.0,0.0,45.0,165.0,75.0,105.0,165.0,135.0,,0.0,140.0,160.0,120.0,240.0,240.0,220.0,120.0,220.0,120.0,180.0,60.0,180.0,180.0,120.0,260.0,140.0,140.0,,120.0,140.0,195.0,120.0,210.0,165.0,180.0,75.0,0.0,45.0,195.0,180.0,220.0,195.0,120.0,30.0,90.0,0.0,90.0,220.0,30.0,105.0,180.0,75.0,160.0,140.0,150.0,7.0,150.0,120.0
150.0,180.0,30.0,120.0,200.0,240.0,165.0,225.0,90.0,135.0,150.0,160.0,80.0,120.0,210.0,105.0,140.0,120.0,200.0,120.0,240.0,75.0,60.0,210.0,90.0,195.0,120.0,,0.0,200.0,160.0,90.0,180.0,80.0,260.0,140.0,160.0,150.0,200.0,120.0,0.0,40.0,105.0,180.0,135.0,140.0,,180.0,0.0,120.0,165.0,135.0,105.0,165.0,180.0,160.0,15.0,240.0,90.0,160.0,60.0,120.0,225.0,150.0,,135.0,300.0,,135.0,180.0,165.0,160.0,180.0,60.0,0.0,90.0,20.0
45.0,200.0,165.0,0.0,180.0,0.0,225.0,75.0,120.0,140.0,140.0,260.0,,140.0,150.0,165.0,180.0,135.0,100.0,210.0,160.0,240.0,120.0,135.0,60.0,75.0,140.0,,,200.0,200.0,,120.0,180.0,0.0,,0.0,135.0,240.0,160.0,140.0,0.0,150.0,120.0,195.0,165.0,,240.0,0.0,140.0,140.0,150.0,45.0,75.0,135.0,100.0,140.0,150.0,135.0,240.0,180.0,,75.0,180.0,,120.0,100.0,,30.0,100.0,140.0,100.0,240.0,165.0,7.0,105.0,80.0
150.0,200.0,195.0,180.0,0.0,260.0,165.0,210.0,120.0,120.0,,200.0,,120.0,140.0,120.0,160.0,60.0,120.0,180.0,160.0,105.0,140.0,105.0,30.0,90.0,140.0,,,0.0,180.0,,0.0,220.0,0.0,,300.0,210.0,200.0,220.0,180.0,180.0,15.0,0.0,140.0,195.0,,80.0,220.0,180.0,120.0,180.0,150.0,120.0,90.0,80.0,60.0,180.0,105.0,220.0,140.0,,135.0,120.0,,165.0,120.0,,120.0,200.0,150.0,80.0,220.0,135.0,135.0,105.0,80.0
