AThomas3,APeriklis1,AThomas1,APeriklis3,CGari2,CGari3,APeter1,ARIchard3,AHarry1,AHarry3,RMarcus3,RSarah3,RMarcus1,APeter3,RSid3,RNicholas3,RSid1,RKM3,RKM1,AJeremy1,AAdam3,AJeremy3,AJeremy2,ABenS3,CJayden3,ABenS1,CJayden1,RSteven3,RRobert3,RJohn3,CGari1,CGeorge1,RJakub1,CJonny2,CDaisy2,CKrish1,CJonny1,CDaisy3,RBen2,RBen3,AAdam1,CTristan3,CRoy1,CTristan1,CRoy3,AMichael1,RRobert2,RNicholas1,RJakub3,CJames1,CJoshua3,CKrish3,AAlex1,AMichael3,AAlex3,RJohn1,ADavid1,ADavid3,ARachel1,RJakub2,ARachel3,CPrakash1,CPrakash3,RSteven1,CGeorge3,ARichard2,RSkyler1,CNathan3,CNathan1,CTristan2,CJoshua1,RSarah2,RAshley2,RSkyler3,AThomas2,CJames3,RAshley3
1241.0,0.0,3167.0,0.0,0.0,0.0,1772.0,3001.0,1256.0,1404.0,2183.0,2562.0,1831.0,1357.0,2652.0,1264.0,0.0,3050.0,0.0,2874.0,0.0,2918.0,4230.0,3562.0,580.0,2445.0,1608.0,,3585.0,0.0,967.0,2497.0,3520.0,4449.0,0.0,3669.0,0.0,1050.0,0.0,0.0,852.0,0.0,0.0,4039.0,1684.0,4069.0,0.0,0.0,3787.0,4002.0,1921.0,2496.0,1699.0,42.0,1350.0,0.0,2702.0,1519.0,2998.0,0.0,4558.0,665.0,2023.0,2696.0,1254.0,2897.0,0.0,4349.0,5540.0,2871.0,3021.0,1524.0,0.0,4188.0,0.0,1421.0,0.0
1268.0,2633.0,2447.0,336.0,2865.0,0.0,2657.0,3034.0,870.0,2191.0,3243.0,3911.0,675.0,2473.0,4397.0,2631.0,0.0,5447.0,270.0,4877.0,1267.0,7283.0,6317.0,4824.0,2398.0,3807.0,2408.0,,4546.0,0.0,1548.0,3245.0,3982.0,6645.0,3555.0,2345.0,1240.0,1805.0,0.0,0.0,1896.0,0.0,1302.0,3296.0,2095.0,4023.0,1309.0,2100.0,3418.0,5314.0,3575.0,2650.0,1035.0,9755.0,1629.0,0.0,3892.0,5249.0,3714.0,0.0,3975.0,2170.0,2205.0,2189.0,3971.0,1963.0,1743.0,3135.0,2034.0,1235.0,3050.0,2753.0,0.0,5391.0,1014.0,1642.0,66.0
1532.0,0.0,1496.0,816.0,2197.0,0.0,2766.0,2845.0,2577.0,3129.0,2761.0,0.0,2776.0,1145.0,3261.0,2006.0,0.0,3052.0,2431.0,4888.0,479.0,6034.0,4459.0,3109.0,3197.0,3113.0,1952.0,,0.0,0.0,1032.0,3687.0,2991.0,0.0,3646.0,2440.0,0.0,1358.0,0.0,0.0,0.0,0.0,1203.0,2273.0,1729.0,4540.0,0.0,0.0,3936.0,7296.0,1534.0,3062.0,3217.0,4008.0,2437.0,336.0,3302.0,3846.0,4460.0,2550.0,3816.0,4336.0,2979.0,3205.0,3327.0,3033.0,977.0,1297.0,3510.0,0.0,3426.0,0.0,0.0,4921.0,2443.0,1219.0,2796.0
971.0,2727.0,1361.0,349.0,3658.0,0.0,2094.0,1710.0,4075.0,3409.0,1736.0,3410.0,2707.0,502.0,3957.0,2412.0,0.0,5009.0,0.0,4853.0,0.0,8442.0,5274.0,3448.0,2635.0,2116.0,2263.0,,0.0,361.0,978.0,1363.0,2665.0,0.0,2909.0,2216.0,0.0,2403.0,0.0,740.0,964.0,1846.0,997.0,3202.0,1774.0,5109.0,0.0,3837.0,3084.0,4509.0,2065.0,633.0,2620.0,3918.0,1065.0,0.0,3209.0,3038.0,3060.0,773.0,1875.0,1310.0,2958.0,1678.0,1619.0,3114.0,0.0,1011.0,3844.0,2446.0,2893.0,0.0,0.0,3250.0,869.0,1307.0,946.0
906.0,2670.0,3054.0,704.0,3708.0,0.0,2709.0,2733.0,7711.0,2676.0,1468.0,3455.0,1890.0,652.0,5178.0,6172.0,37.0,5516.0,0.0,4609.0,450.0,6886.0,5088.0,4626.0,2453.0,2771.0,2345.0,,0.0,0.0,193.0,2258.0,2496.0,0.0,3050.0,2713.0,549.0,3681.0,0.0,3748.0,1409.0,0.0,1374.0,3637.0,1640.0,3579.0,749.0,0.0,3710.0,4068.0,2669.0,1372.0,1455.0,4350.0,1713.0,0.0,2737.0,4559.0,3145.0,0.0,1272.0,1715.0,3998.0,3481.0,1783.0,2139.0,0.0,1471.0,2708.0,1757.0,2928.0,0.0,0.0,4186.0,407.0,2028.0,2925.0
1507.0,2526.0,4018.0,0.0,0.0,0.0,2437.0,2632.0,2455.0,1228.0,2123.0,3352.0,2804.0,1567.0,7147.0,6351.0,0.0,9404.0,2371.0,4530.0,565.0,6994.0,4419.0,3728.0,1718.0,1885.0,2030.0,,4947.0,0.0,0.0,2301.0,2896.0,4543.0,2261.0,2874.0,1025.0,4177.0,0.0,1101.0,1432.0,0.0,1600.0,3534.0,1595.0,4009.0,0.0,1937.0,1928.0,4356.0,3710.0,1780.0,2842.0,4509.0,1538.0,0.0,2971.0,3146.0,2388.0,1964.0,1780.0,1457.0,3563.0,879.0,3013.0,2644.0,0.0,1927.0,3651.0,2088.0,1889.0,0.0,0.0,4463.0,296.0,2485.0,3183.0
1372.0,3453.0,1374.0,1872.0,3427.0,0.0,2234.0,2071.0,2529.0,2918.0,3837.0,3953.0,0.0,2800.0,4751.0,2569.0,0.0,6223.0,0.0,5119.0,0.0,10550.0,4856.0,1535.0,2054.0,2198.0,1904.0,,4783.0,0.0,1534.0,2147.0,3093.0,4819.0,0.0,2040.0,620.0,3882.0,0.0,850.0,790.0,72.0,1269.0,2393.0,2053.0,5242.0,0.0,3656.0,3721.0,4928.0,1504.0,2637.0,1206.0,3646.0,3114.0,0.0,2158.0,2756.0,1545.0,226.0,2128.0,3170.0,3935.0,2372.0,3103.0,3142.0,1605.0,1682.0,3699.0,1943.0,1596.0,0.0,0.0,2330.0,847.0,1248.0,3143.0
986.0,0.0,1289.0,3360.0,2901.0,0.0,1793.0,2412.0,1735.0,2247.0,2988.0,5378.0,600.0,1364.0,5637.0,3015.0,0.0,5173.0,2343.0,4227.0,97.0,8641.0,4725.0,2231.0,4022.0,3401.0,2078.0,,2695.0,0.0,0.0,3418.0,3672.0,0.0,0.0,2484.0,0.0,2448.0,569.0,1811.0,842.0,0.0,999.0,3705.0,1935.0,5154.0,1038.0,2810.0,3754.0,4059.0,2862.0,4423.0,2614.0,4129.0,1891.0,0.0,3886.0,4674.0,2252.0,3568.0,3288.0,6955.0,4300.0,2414.0,2372.0,1996.0,0.0,3429.0,2247.0,2737.0,3799.0,1752.0,735.0,3960.0,969.0,1787.0,0.0
1342.0,3049.0,745.0,1984.0,3497.0,0.0,3585.0,2575.0,2736.0,1873.0,2974.0,4243.0,701.0,1580.0,8530.0,2049.0,0.0,4959.0,0.0,5926.0,0.0,10077.0,5808.0,2944.0,2432.0,3489.0,2143.0,,0.0,1362.0,0.0,3888.0,3308.0,3155.0,2879.0,3939.0,0.0,3794.0,0.0,4332.0,870.0,0.0,895.0,1906.0,2019.0,5556.0,,970.0,2907.0,2853.0,2834.0,2251.0,1621.0,3394.0,1301.0,0.0,3624.0,2830.0,2493.0,4470.0,3015.0,2726.0,3076.0,2595.0,3614.0,1214.0,0.0,2434.0,3693.0,2388.0,4329.0,2932.0,0.0,4515.0,0.0,1397.0,4378.0
1086.0,4137.0,646.0,633.0,2574.0,0.0,1779.0,1990.0,2197.0,4205.0,3957.0,5701.0,0.0,1867.0,5058.0,3541.0,0.0,4263.0,5646.0,7671.0,0.0,2008.0,3708.0,2441.0,4092.0,3509.0,2308.0,,0.0,0.0,842.0,2408.0,2946.0,5365.0,4024.0,5265.0,0.0,4292.0,30.0,6380.0,408.0,893.0,1263.0,2922.0,1608.0,4179.0,,2970.0,2598.0,5381.0,3295.0,2854.0,2119.0,3030.0,1802.0,0.0,2903.0,4710.0,2905.0,1022.0,4878.0,1701.0,2210.0,2353.0,0.0,1635.0,0.0,2517.0,1917.0,3354.0,3164.0,2607.0,795.0,5165.0,676.0,1666.0,58.0
